ITEM,QTY.,DESCRIPTION,MATERIAL,STK. NO.
1,0.031,FEP FILM,FEP,SG00504
2,"(16"")",TUBING C-FLEX® 374 0.125 X 0.250 (3.2mm X 6.4mm),TPE,374-125-2
3,"(12"")",TUBING C-FLEX® 374 0.250 X 0.375 (6.4mm X 9.5mm),TPE,374-250-2
4,"(9"")",TUBING TYGON® ND-100-80 0.118 X 0.156 (3.0mm X 4.0mm),PVC,AAD042347
5,3,"1/8"" HB PORT WITH EARS 2mm BORE",FEP,CS-264
6,2,"CONNECTOR-LUER FEMALE 200 SERIES 1/8"" HB",PVDF,FTLL230-J2A
7,1,"CONNECTOR-LOCK RING LUER MALE 200 SERIES 1/8"" HB",PVDF,MTLL230-J2A
8,1,FITTING-LOCK RING PLUG LUER MALE,PVDF,MTLLP-J2A
9,1,"FITTING-REDUCER 500 SERIES 1/4"" X 1/8"" HB",PVDF,N055-013-J2A
10,1,"FITTING-PRESS-IN PLUG CLASSIC SERIES 1/4"" HB",PVDF,PIP60-J2A
11,9,"TUBE FASTENER-PAN-TY® LOCKING TIE 8.0"" HEAT STABILIZED BLACK",NYLON,PLT2M-M30
